 (1.069333934783935547e+01+0.000000000000000000e+00j)  (5.807433689808913849e-03+-5.178453377873208814e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.690635571235135005e-03+-3.067906199331481894e-03j)
 (1.060140228271484375e+01+0.000000000000000000e+00j)  (5.702286768550233857e-03+-4.488713682597316422e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (4.009924418476410422e-03+-2.950251025217340024e-03j)
 (1.050817584991455078e+01+0.000000000000000000e+00j)  (5.679444230560301392e-03+-3.923746547185374793e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.465467585573729550e-03+-2.742543879657232536e-03j)
 (1.040613555908203125e+01+0.000000000000000000e+00j)  (5.695868804163454341e-03+-3.467204839861262773e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.041165254215703797e-03+-2.490949748633241451e-03j)
 (1.028937530517578125e+01+0.000000000000000000e+00j)  (5.725872305724251377e-03+-3.099156892508691998e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.717880431309926351e-03+-2.225168742619641586e-03j)
 (1.015358543395996094e+01+0.000000000000000000e+00j)  (5.755201344086044966e-03+-2.801112855544012938e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.478459909193275051e-03+-1.964201021438970445e-03j)
 (9.995994567871093750e+00+0.000000000000000000e+00j)  (5.776580028808477214e-03+-2.557572610633488796e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.306481984881658415e-03+-1.719045514488633979e-03j)
 (9.815269470214843750e+00+0.000000000000000000e+00j)  (5.786840105263164197e-03+-2.356189985762459794e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.187972971917617835e-03+-1.498641144738346300e-03j)
 (9.611147880554199219e+00+0.000000000000000000e+00j)  (5.785177302511489671e-03+-2.187304006467034531e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.112262430865695720e-03+-1.305788446717469006e-03j)
 (9.384446144104003906e+00+0.000000000000000000e+00j)  (5.772002766739480102e-03+-2.043465740963505781e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.067682527999786194e-03+-1.144040633051413187e-03j)
 (9.136775970458984375e+00+0.000000000000000000e+00j)  (5.748359648251016862e-03+-1.918930308004072665e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.041845185710057606e-03+-1.013128966647227833e-03j)
 (8.870303153991699219e+00+0.000000000000000000e+00j)  (5.715606797435101270e-03+-1.809273106401951834e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.027052183025299017e-03+-9.095605141022512340e-04j)
 (8.587627410888671875e+00+0.000000000000000000e+00j)  (5.675184622806877903e-03+-1.711111666608194394e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.018527397291611063e-03+-8.284418258551771779e-04j)
 (8.291615486145019531e+00+0.000000000000000000e+00j)  (5.628453167363941557e-03+-1.621853769011033378e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.011799526566005955e-03+-7.671535350075513009e-04j)
 (7.985309600830078125e+00+0.000000000000000000e+00j)  (5.576679885390142463e-03+-1.539508378198263050e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.004295463474571777e-03+-7.212099588764036250e-04j)
 (7.671683311462402344e+00+0.000000000000000000e+00j)  (5.520998123672145493e-03+-1.462558069609315361e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.995061220738134165e-03+-6.873460599700610641e-04j)
 (7.353703498840332031e+00+0.000000000000000000e+00j)  (5.462392153815426483e-03+-1.389837746030526955e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.984484815306544400e-03+-6.620426186870596473e-04j)
 (7.034157276153564453e+00+0.000000000000000000e+00j)  (5.401682731172913546e-03+-1.320484285013399841e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.972005523978802820e-03+-6.456774071042302009e-04j)
 (6.715639591217041016e+00+0.000000000000000000e+00j)  (5.339559761649449038e-03+-1.253795778661766398e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.956859489549587095e-03+-6.322390593890705275e-04j)
 (6.400518894195556641e+00+0.000000000000000000e+00j)  (5.276564390866929181e-03+-1.189308322708352694e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.938924410233795140e-03+-6.257684292748468598e-04j)
 (6.090857505798339844e+00+0.000000000000000000e+00j)  (5.213195312268611471e-03+-1.126591741249981021e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.921290454282003918e-03+-6.192498018175077818e-04j)
 (5.788489818572998047e+00+0.000000000000000000e+00j)  (5.149806858555820883e-03+-1.065381700065359209e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.904829673293681035e-03+-6.161562829088197170e-04j)
 (5.494904518127441406e+00+0.000000000000000000e+00j)  (5.086624261236318695e-03+-1.005447394864938948e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.884286090955568154e-03+-6.155329743044456224e-04j)
 (5.211369991302490234e+00+0.000000000000000000e+00j)  (5.023897775944773970e-03+-9.466088913199426991e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.864170877964107294e-03+-6.153182980740029865e-04j)
 (4.938811302185058594e+00+0.000000000000000000e+00j)  (4.961772586825030987e-03+-8.887232387733670809e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.843292626939277033e-03+-6.154443656091663530e-04j)
 (4.677962779998779297e+00+0.000000000000000000e+00j)  (4.900389971334981852e-03+-8.317202635788043842e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.823621131260138705e-03+-6.172164100213748924e-04j)
 (4.429294109344482422e+00+0.000000000000000000e+00j)  (4.839813069090619611e-03+-7.754833933684799219e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.802813834668037492e-03+-6.166001448322524451e-04j)
 (4.193067073822021484e+00+0.000000000000000000e+00j)  (4.780117014820006727e-03+-7.200309840227239570e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.784207820083383907e-03+-6.205078652716674269e-04j)
 (3.969364166259765625e+00+0.000000000000000000e+00j)  (4.721306668534133201e-03+-6.652339473171175370e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.761974140075190732e-03+-6.200320490812456483e-04j)
 (3.758104801177978516e+00+0.000000000000000000e+00j)  (4.663453265913202611e-03+-6.111413737612167961e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.742001795372812066e-03+-6.220818172477122349e-04j)
 (3.559073448181152344e+00+0.000000000000000000e+00j)  (4.606564805915924765e-03+-5.577202842550919512e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.723317369288743933e-03+-6.232419641646245144e-04j)
 (3.371945619583129883e+00+0.000000000000000000e+00j)  (4.550633451225782541e-03+-5.049676399803180267e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.704157395273685508e-03+-6.231217525084830700e-04j)
 (3.196307420730590820e+00+0.000000000000000000e+00j)  (4.495640881961751427e-03+-4.529070746967572489e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.683145109097573680e-03+-6.231900575660839813e-04j)
 (3.031678915023803711e+00+0.000000000000000000e+00j)  (4.441627317362150523e-03+-4.015526240808886451e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.664986041997992784e-03+-6.204339816735509206e-04j)
 (2.877538442611694336e+00+0.000000000000000000e+00j)  (4.388537641217012293e-03+-3.509509538307316215e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.646560787633841432e-03+-6.182298133517030248e-04j)
 (2.733331441879272461e+00+0.000000000000000000e+00j)  (4.336357595674506134e-03+-3.011410558097008233e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.628640680267715848e-03+-6.159327842852108017e-04j)
 (2.598483085632324219e+00+0.000000000000000000e+00j)  (4.285064564127563126e-03+-2.521547937083392179e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.609717381439115195e-03+-6.125543686390798369e-04j)
 (2.472415447235107422e+00+0.000000000000000000e+00j)  (4.234645507402509321e-03+-2.040492472634548122e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.593961617616233405e-03+-6.074827829562304575e-04j)
 (2.354564666748046875e+00+0.000000000000000000e+00j)  (4.185051545109477918e-03+-1.568645132546985562e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.578229868027037838e-03+-6.008771798026402112e-04j)
 (2.244381904602050781e+00+0.000000000000000000e+00j)  (4.136218537881072681e-03+-1.106461783618871062e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.560573811293483127e-03+-5.929102772142101239e-04j)
 (2.141333818435668945e+00+0.000000000000000000e+00j)  (4.088141702679416387e-03+-6.548778267898336977e-05j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.546540333875401395e-03+-5.864174547311718725e-04j)
